OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
489,49697,2008/02/29,8,544,"process points, 200802290013, Field verified by NCGS,",082.74900300W,35.61452000N,49696,,WL,,,,,,
490,49698,2007/04/25,8,552,"process points, SAM-019, Field verified by NCGS,",082.97181000W,35.34350000N,49697,,WL,,,,,,
491,49699,2007/04/25,8,563,"process points, SAM-021, Field verified by NCGS,",082.97408000W,35.35089000N,49698,,WL,,,,,,
507,49715,2008/07/22,8,350,"process points, DM23, Field verified by NCGS,",082.65097600W,35.49560700N,49714,,WL,,,,,,
508,49716,2008/07/22,8,351,"process points, DM24, Field verified by NCGS,",082.65669000W,35.48741600N,49715,,WL,,,,,,
509,49717,2008/07/22,8,352,"process points, DM25, Field verified by NCGS,",082.65383600W,35.48632700N,49716,,WL,,,,,,
511,49719,2004/08/11,8,403,"process points, Biltmore Embankment Failure, Field verified by NCGS,",082.54628800W,35.57058000N,49718,,WL,,,,,,
512,49720,2008/07/22,8,353,"process points, DM26, Field verified by NCGS,",082.65333300W,35.48606700N,49719,,WL,,,,,,
517,49725,2008/10/21,8,358,"process points,  , Field verified by NCGS,",082.32082100W,35.64273300N,49724,,WL,,,,,,
518,49726,2004/09/30,8,408,"process points, Catatoga Subdivision, Field verified by NCGS,",082.91855726W,35.11342146N,49725,,WL,,,,,,
519,49727,2004/09/15,8,409,"process points, Honeycutt Mountain, Field verified by NCGS,",081.94152708W,35.88533975N,49726,,WL,,,,,,
520,49728,2008/11/05,8,360,"process points, 200811051001, Field verified by NCGS,",082.48650300W,35.67510200N,49727,,WL,,,,,,
521,49729,2008/07/23,8,361,"process points, DM35; 200807231002, Field verified by NCGS,",082.65190700W,35.45611100N,49728,,WL,,,,,,
